colony,night,d2m,d5m,d10m,fert
2,1,0,0,0,1
4,1,0,3,19,20
5,1,0,2,18,16
7,1,2,4,9,81
11,1,1,1,6,14
13,1,6,9,14,41
15,1,0,6,35,3
16,1,3,7,31,32
19,1,1,8,21,20
20,1,0,14,36,7
21,1,1,14,30,63
22,1,2,6,22,65
23,1,2,6,21,42
24,1,0,3,20,57
25,1,3,4,9,42
1,2,0,0,0,0
4,2,0,3,19,0
5,2,0,2,18,1
6,2,0,1,7,20
7,2,2,4,9,1
9,2,0,1,5,16
12,2,0,0,2,1
14,2,2,7,18,11
15,2,0,6,35,12
17,2,2,9,36,14
18,2,2,14,40,0
19,2,1,8,21,41
20,2,0,14,36,5
21,2,1,14,30,30
23,2,2,6,21,8
24,2,0,3,20,4
26,2,1,5,13,37
