colony,fertdecimal,night,floatgroup,fert,nn_weighted,nn
4,0.196078431,1,2,20,0.241095009,2.5
21,0.633333333,1,2,63,0.397236097,2.2
15,0.033816425,1,1,3,0.286920596,3
2,0.009389671,1,1,1,0.000139626,15
16,0.323636364,1,1,32,20.19799179,0.2
19,0.204,1,2,20,0.412726882,0.8
20,0.069306931,1,2,7,0.426171591,2.2
13,0.411214953,1,3,41,1.790830325,0.4
23,0.422330097,1,2,42,22.25139045,1.5
5,0.16007533,1,2,16,0.155245312,4.5
25,0.418326693,1,2,42,1.682020805,1
7,0.810810811,1,2,81,2.281757682,0.6
24,0.571428571,1,2,57,0.143357615,4
22,0.649484536,1,2,65,22.25731177,1.5
11,0.140449438,1,3,14,0.448855895,1
1,0,2,4,0,0.001963495,19
24,0.038277512,2,4,4,0.143357615,4
9,0.156118144,2,4,16,0.037214484,4.8
12,0.007272727,2,4,1,0.016349365,8.6
14,0.109756098,2,4,11,0.970524338,0.8
15,0.119148936,2,4,12,0.286920596,3
17,0.135048232,2,4,14,0.309674585,1.4
18,0,2,4,0,0.381469871,1.5
4,0,2,4,0,0.241095009,2.5
5,0.012618297,2,4,1,0.155245312,4.5
6,0.2,2,4,20,0.048754553,4.7
7,0.013937282,2,4,1,2.281757682,0.6
26,0.37,2,4,37,7.173388634,0.2
19,0.405128205,2,4,41,0.412726882,0.8
20,0.047814208,2,4,5,0.426171591,2.2
21,0.29787234,2,4,30,0.397236097,2.2
23,0.083333333,2,4,8,22.25139045,1.5
